"id" "y" "x"
"274" 267 59 39.5
"275" 268 177 147.65
"276" 269 188 191.86
"277" 270 221 231.25
"278" 271 402 218.18
"279" 272 297 177.47
"280" 273 249 136.91
"281" 274 1079 832.75
"282" 275 76 56.21
"283" 276 19 8.27
"284" 277 26 46.48
"285" 278 29 15.16
"286" 279 61 132.17
"287" 280 4 5.08
"288" 281 56 84.4
"289" 282 298 122.15
"290" 283 618 249.9
"291" 284 193 108.95
"292" 285 75 46.34
"293" 286 112 114.18
"294" 287 16 15.62
"295" 288 76 64.92
"296" 289 74 144.24
"297" 290 187 124.96
"298" 291 87 52.13
"299" 292 116 61.33
"300" 293 259 156.7
"301" 294 16 16.71
"302" 295 78 36.58
"303" 296 15 9.49
"304" 297 239 142.93
"305" 298 151 93.59
"306" 299 79 52.79
"307" 300 279 144.96
"308" 301 255 200.07
"309" 302 64 26.96
"310" 303 329 235.5
"311" 304 360 181.54
"312" 305 272 151.63
"313" 306 17 35.92
"314" 307 291 155.93
"315" 308 92 106.75
"316" 309 53 31.92
"317" 310 84 25.98
"318" 311 72 52.65
"319" 312 62 78.48
"320" 313 167 119.95
"321" 314 235 233.77
"322" 315 6 0.48
"323" 316 13 9.08
"324" 317 276 158.08
"325" 318 85 53.08
"326" 319 48 30.04
"327" 320 134 98.33
"328" 321 72 88.01
"329" 322 366 209.25
"330" 323 97 95.25
"331" 324 654 311.43
"332" 325 690 432.23
"333" 326 76 48.45
"334" 327 88 98.07
"335" 328 148 120.31
"336" 329 140 51.62
"337" 330 534 231.95
"338" 331 244 169.9
"339" 332 167 160.06
"340" 333 290 253.64
"341" 334 239 105.49
"342" 335 83 118.24
"343" 336 294 213.64
"344" 337 22 19.17
"345" 338 138 210.77
"346" 339 11 11.54
"347" 340 34 34.46
"348" 341 148 64.24
"349" 342 45 42.53
"350" 343 739 317.73
"351" 344 178 193.24
"352" 345 313 211.73
"353" 346 441 257.92
"354" 347 384 197.47
"355" 348 141 172.11
"356" 349 86 84.39
"357" 350 59 28.02
"358" 351 36 53.41
"359" 352 382 190.89
"360" 353 12 14.63
"361" 354 804 586.38
"362" 355 46 33.85
"363" 356 85 48.44
"364" 357 66 68.53
"365" 358 22 11.78
"366" 359 365 181.77
"367" 360 340 175.89
"368" 361 8 26.44
"369" 362 634 386.65
"370" 363 48 25.53
"371" 364 562 309.4
